,/lpc/it8720f/control/0,/lpc/it8720f/control/1,/lpc/it8720f/control/2,/lpc/it8720f/voltage/0,/lpc/it8720f/voltage/1,/lpc/it8720f/voltage/2,/lpc/it8720f/voltage/3,/lpc/it8720f/voltage/4,/lpc/it8720f/voltage/8,/lpc/it8720f/temperature/0,/lpc/it8720f/temperature/1,/lpc/it8720f/fan/0,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/temperature/0,/amdcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/level/0,/hdd/0/data/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/0/factor/1,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/temperature/0,/hdd/2/load/0,/hdd/3/temperature/0,/hdd/3/load/0,/hdd/4/temperature/0,/hdd/4/load/0
Time,"PWM 1","PWM 2","PWM 3","CPU VCore","DRAM","+3.3V","+5V","+12V","VBat","System","CPU","CPU Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","Core #1 - #8","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Remaining Life","Controller Writes to NAND","Host Writes to Controller","Host Reads","Used Space","Write Amplification","Temperature","Used Space","Temperature","Used Space","Temperature","Used Space","Temperature","Used Space"
11/18/2018 09:09:31,100,,100,1.40800011,1.50400007,3.36000013,5.05344,12.04878,3.31200027,23,44,3325.123,18.75,9.375,98.4375,25,12.5,26.5625,21.875,14.2857132,28.3482132,3422.85474,4026.88818,3422.85474,3422.85474,3422.85474,3422.85474,3422.85474,3422.85474,39.5,201.3444,19.43814,3.106533,12.875103,25,1478,607.5,405.000031,1215,0,3,0,49,3072,390.011719,2681.98828,12.695694,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:32,100,,100,1.40800011,1.50400007,3.36000013,5.05344,12.04878,3.31200027,23,42,3325.123,9.375,4.6875,85.9375,15.625,3.125,10.9375,12.5,0,17.7734375,3422.85767,3422.85767,3422.85767,3422.85767,3422.85767,3422.85767,3422.85767,3422.85767,39.25,201.344574,19.3824081,3.09762573,12.88401,25,1475,607.5,405.000031,1215,2,4,0,49,3072,390.261719,2681.73828,12.7038317,21,100,8000,7616,18368,97.36433,1.05042017,20,91.46388,21,79.2032,21,91.96342,22,15.1608429
11/18/2018 09:09:33,100,,100,1.40800011,1.50400007,3.36000013,5.05344,12.04878,3.31200027,23,42,3325.123,17.1875,1.5625,96.875,15.625,6.25,9.375,1.5625,3.125,18.9453125,3422.85327,4026.886,3422.85327,3422.85327,3422.85327,3422.85327,3422.85327,3422.85327,39.625,201.3443,19.383316,3.09777069,12.8838654,25,1475,607.5,405.000031,1215,0,3,0,49,3072,390.261719,2681.73828,12.7038317,21,100,8000,7616,18368,97.36433,1.05042017,20,91.46388,21,79.2032,21,91.96342,22,15.1608429
11/18/2018 09:09:34,100,,100,1.424,1.488,3.36000013,5.05344,12.04878,3.31200027,23,42,3325.123,29.6875,43.75,59.375,35.9375,14.0625,25,9.375,6.25,27.9296875,3422.85767,3422.85767,3422.85767,3422.85767,3422.85767,3422.85767,3422.85767,3422.85767,38.75,201.344559,19.2816086,3.08151627,12.90012,25,1477,607.5,405.000031,1215,1,3,0,49,3072,390.261719,2681.73828,12.7038317,21,100,8000,7616,18368,97.36433,1.05042017,20,91.46388,21,79.2032,21,91.96342,22,15.1608429
11/18/2018 09:09:35,100,,100,1.40800011,1.50400007,3.344,5.05344,12.04878,3.31200027,23,43,3325.123,37.5,54.6875,70.3125,28.125,17.1875,12.5,14.0625,7.8125,30.2734375,3422.85352,3422.85352,3422.85352,4026.88647,3422.85352,3422.85352,3422.85352,3422.85352,39.625,201.34433,19.3603745,3.09410477,12.8875313,24,1477,607.5,405.000031,1215,2,4,0,49,3072,388.761719,2683.23828,12.6550035,21,100,8000,7616,18368,97.36433,1.05042017,20,91.46388,21,79.2032,21,91.96342,22,15.1608429
11/18/2018 09:09:36,100,,100,1.424,1.50400007,3.36000013,5.05344,12.04878,3.31200027,23,43,3341.58423,14.0625,4.6875,92.1875,17.1875,4.6875,25,3.125,1.5625,20.3125,3422.85669,3422.85669,4026.89038,4026.89038,1409.41162,3422.85669,3422.85669,3422.85669,40.375,201.344513,19.3679886,3.09532166,12.8863144,25,1476,607.5,405.000031,1215,0,3,0,49,3072,388.761719,2683.23828,12.6550035,21,100,8000,7616,18368,97.36433,1.05042017,20,91.46388,21,79.2032,21,91.96342,22,15.1608429
11/18/2018 09:09:37,100,,100,1.424,1.50400007,3.36000013,5.05344,12.04878,3.31200027,23,42,3341.58423,12.5,1.5625,70.3125,6.25,0,40.625,6.25,4.6875,17.7734375,3422.85376,3422.85376,3422.85376,3422.85376,3422.85376,3422.85376,3422.85376,3422.85376,40.375,201.344345,19.35073,3.09256363,12.8890724,24,1476,607.5,405.000031,1215,1,3,0,49,3072,388.761719,2683.23828,12.6550035,21,100,8000,7616,18368,97.36433,1.05042017,20,91.46388,21,79.2032,21,91.96342,22,15.1608429
11/18/2018 09:09:38,100,,100,1.40800011,1.488,3.36000013,5.05344,12.04878,3.31200027,23,43,3341.58423,45.3125,35.9375,28.125,21.875,23.4375,50,21.875,35.9375,32.8125,3422.85571,3422.85571,3422.85571,3422.85571,3120.839,3422.85571,3422.85571,3120.839,39.125,201.344452,19.5282745,3.12093735,12.8606987,25,1476,607.5,405.000031,1215,17,11,0,49,3072,382.109375,2689.89063,12.4384565,21,100,8000,7616,18368,97.36433,1.05042017,20,91.46388,21,79.2032,21,91.96342,22,15.1608429
11/18/2018 09:09:39,100,,100,1.39200008,1.50400007,3.36000013,5.05344,12.112196,3.31200027,24,45,3325.123,28.125,23.4375,20.3125,23.4375,23.4375,32.8125,25,15.625,24.0234375,3422.85449,3422.85449,3422.85449,3422.85449,1409.41064,3422.85449,3422.85449,3422.85449,37.5,201.344391,19.4258041,3.10456085,12.8770752,24,1478,607.5,405.000031,1215,1,3,0,49,3072,382.859375,2689.14063,12.4628706,21,100,8000,7616,18368,97.36433,1.05042017,20,91.46388,21,79.2032,21,91.96342,22,15.1608429
11/18/2018 09:09:40,100,,100,1.424,1.50400007,3.36000013,5.05344,12.04878,3.31200027,24,43,3325.123,20.3125,4.76190472,7.8125,10.9375,9.375,10.9375,7.8125,6.25,9.774923,3422.85547,3422.85547,1409.41113,1409.41113,1409.41113,1409.41113,1409.41113,1409.41113,35.125,201.344437,19.3821716,3.09758759,12.8840485,24,1478,607.5,405.000031,1215,0,3,0,49,3072,381.859375,2690.14063,12.4303179,21,100,8000,7616,18368,97.36433,1.05042017,20,91.46388,21,79.2032,21,91.96342,22,15.1608429
